university_id,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
184,658,,351,24.0,501,17.4,601,21.8,601,5.8,601.0,2.0,471.0,25.2,,,,,,
185,651,,501,8.1,501,8.2,601,2.1,299,46.9,367.0,29.0,111.0,89.7,,,,,,
186,755,,501,5.3,501,11.5,601,6.4,508,24.0,232.0,69.7,279.0,52.0,,,,,,
187,978,,501,13.6,235,40.2,601,5.1,601,7.1,601.0,1.4,601.0,1.4,,,,,,
188,1215,,501,5.8,501,7.2,601,5.1,601,1.5,601.0,1.0,601.0,2.2,,,,,,
189,1169,,501,4.4,501,5.2,601,15.7,601,3.4,,,601.0,7.3,,,,,,
190,180,46.3,234,35.6,132,58.2,444,35.0,194,61.1,195.0,81.9,269.0,53.7,,,,,,
191,955,,501,10.9,501,4.0,437,35.8,601,3.3,601.0,1.4,601.0,10.9,,,,,,
192,1256,,501,4.3,501,8.0,601,5.9,601,1.3,601.0,1.8,601.0,1.3,,,,,,
193,389,28.7,456,18.8,501,11.8,601,6.9,160,66.2,214.0,73.9,421.0,31.2,,,,,,
194,29,84.0,32,95.2,19,98.0,178,72.5,218,58.1,146.0,94.0,39.0,99.3,,,,,,
195,67,68.4,35,93.6,61,86.1,601,9.5,30,96.6,601.0,2.1,601.0,15.4,,,,,,
196,922,,501,11.6,501,3.1,601,10.6,423,31.2,,,,,,,,,,
197,1117,,501,12.1,501,7.6,601,17.8,601,1.6,601.0,1.1,594.0,16.4,,,,,,
198,310,33.8,225,37.6,207,45.8,251,60.8,601,6.1,601.0,1.7,601.0,11.7,,,,,,
199,280,36.4,284,30.1,230,41.1,601,18.3,93,81.6,601.0,1.3,601.0,1.2,,,,,,
200,350,31.4,429,19.7,501,5.7,601,7.5,61,89.1,277.0,52.6,570.0,17.8,,,,,,
201,742,,501,14.9,501,16.5,601,4.8,343,40.4,601.0,2.3,601.0,10.8,,,,,,
202,26,85.3,13,99.5,17,98.2,193,69.4,212,58.8,113.0,98.6,87.0,94.9,,,,,,
