university_id,academic reputation rank,academic reputation score
1098,123.0,59.7
1099,60.0,84.7
1100,99.0,66.4
1101,450.0,18.6
1102,,
1103,187.0,43.1
1104,,
1105,,
1106,387.0,21.4
1107,,
1108,344.0,24.6
1109,421.0,19.9
1110,70.0,78.4
1111,501.0,12.2
1112,,
1113,,
1114,,
1115,,
1116,,
1117,501.0,6.0
1118,130.0,56.0
1119,237.0,34.9
1120,,
1121,,
1122,,
1123,141.0,53.9
1124,,
1125,114.0,60.8
1126,,
1127,501.0,12.9
1128,,
1129,125.0,58.7
1130,316.0,26.2
1131,261.0,32.3
1132,119.0,60.0
1133,292.0,28.7
1134,478.0,17.6
1135,249.0,33.9
1136,4.0,100.0
1137,501.0,9.8
1138,105.0,64.3
1139,501.0,12.7
1140,258.0,32.9
1141,238.0,34.8
1142,,
1143,167.0,46.5
1144,487.0,17.1
1145,,
1146,,
1147,,
