university_id,sustainability rank,sustainability score
837,701.0,1.7
838,617.0,14.5
839,542.0,20.3
840,177.0,74.8
841,80.0,91.8
842,586.0,16.5
843,621.0,14.2
844,48.0,95.7
845,411.0,33.8
846,255.0,58.6
847,612.0,15.0
848,701.0,4.8
849,263.0,57.4
850,521.0,22.5
851,701.0,3.0
852,259.0,57.7
853,701.0,1.0
854,701.0,6.7
855,701.0,1.1
856,701.0,6.2
857,701.0,1.6
858,113.0,85.9
859,701.0,1.1
860,701.0,1.2
861,701.0,1.2
862,456.0,29.1
863,701.0,2.3
864,596.0,15.9
865,358.0,41.1
866,471.0,27.6
867,701.0,2.8
868,126.0,83.7
869,193.0,72.0
870,701.0,1.1
871,701.0,1.2
872,243.0,61.9
873,204.0,70.1
874,3.0,99.9
875,701.0,2.6
876,156.0,79.1
877,701.0,1.6
878,132.0,82.9
879,3.0,99.9
880,403.0,34.6
881,235.0,62.8
882,336.0,44.4
883,571.0,17.8
884,490.0,24.8
885,701.0,7.6
886,701.0,1.0
887,701.0,1.1
888,669.0,9.8
889,640.0,12.3
890,701.0,1.0
891,555.0,18.8
892,511.0,23.2
893,312.0,49.4
894,471.0,27.6
895,701.0,3.5
896,701.0,1.1
897,701.0,1.2
898,701.0,2.7
899,288.0,53.4
900,438.0,30.7
901,701.0,1.0
902,621.0,14.2
903,351.0,42.3
904,701.0,1.9
905,146.0,80.4
906,701.0,2.1
907,344.0,43.2
908,701.0,2.5
909,2.0,99.9
910,506.0,23.7
911,701.0,4.1
912,673.0,9.7
913,489.0,25.1
914,701.0,1.0
915,701.0,1.0
916,701.0,1.1
917,305.0,50.6
918,701.0,1.6
919,288.0,53.4
920,701.0,3.4
921,685.0,9.2
922,162.0,78.0
923,663.0,10.5
924,495.0,24.6
925,627.0,13.7
926,701.0,3.8
927,701.0,1.8
928,,
929,598.0,15.8
930,120.0,84.8
931,226.0,64.8
932,423.0,32.1
933,701.0,1.6
934,167.0,77.3
935,701.0,1.1
936,701.0,3.4
937,564.0,18.2
938,701.0,1.4
939,701.0,1.8
940,701.0,3.5
941,555.0,18.8
942,701.0,1.0
943,701.0,1.0
944,701.0,8.1
945,469.0,27.8
946,152.0,79.8
947,661.0,10.6
948,235.0,62.8
949,701.0,3.0
950,701.0,1.6
951,701.0,7.3
952,504.0,23.9
953,30.0,97.6
954,701.0,2.1
955,701.0,2.0
956,691.0,8.7
957,163.0,77.7
958,108.0,87.4
959,701.0,1.1
960,701.0,7.0
961,279.0,54.6
962,701.0,2.4
963,701.0,6.0
964,701.0,1.1
965,548.0,19.7
966,283.0,54.3
967,259.0,57.7
968,323.0,47.2
969,182.0,73.6
970,117.0,85.4
971,182.0,73.6
972,701.0,1.1
973,255.0,58.6
974,175.0,75.1
975,403.0,34.6
976,157.0,78.6
977,540.0,20.5
978,701.0,1.3
979,701.0,3.9
980,432.0,31.0
981,701.0,1.0
982,497.0,24.4
983,51.0,95.2
984,552.0,19.0
985,342.0,43.5
986,701.0,1.1
987,701.0,1.0
988,701.0,2.2
989,403.0,34.6
990,92.0,90.4
991,,
992,701.0,1.0
993,207.0,69.9
994,701.0,1.2
995,506.0,23.7
996,567.0,18.0
997,701.0,1.1
998,701.0,2.7
999,456.0,29.1
1000,701.0,1.2
1001,701.0,1.3
1002,544.0,20.1
1003,598.0,15.8
1004,567.0,18.0
1005,154.0,79.5
1006,524.0,21.8
1007,485.0,26.1
1008,667.0,10.2
1009,283.0,54.3
1010,701.0,1.0
1011,400.0,34.9
1012,647.0,11.7
1013,299.0,51.2
1014,701.0,1.3
1015,634.0,13.1
1016,701.0,1.8
1017,701.0,5.0
1018,366.0,39.3
1019,678.0,9.6
1020,701.0,1.6
1021,669.0,9.8
1022,428.0,31.3
1023,701.0,7.0
1024,351.0,42.3
1025,453.0,29.4
1026,701.0,1.1
1027,18.0,98.4
1028,251.0,60.1
1029,239.0,62.5
1030,701.0,3.7
1031,701.0,1.1
1032,614.0,14.9
1033,592.0,16.1
1034,487.0,25.8
1035,701.0,7.0
1036,603.0,15.4
1037,701.0,1.9
1038,419.0,32.9
1039,701.0,6.3
1040,701.0,5.1
1041,701.0,3.4
1042,201.0,70.4
1043,400.0,34.9
1044,616.0,14.7
1045,514.0,23.0
1046,360.0,40.8
1047,506.0,23.7
1048,80.0,91.8
1049,497.0,24.4
1050,701.0,1.6
1051,413.0,33.5
1052,301.0,50.9
1053,701.0,7.0
1054,533.0,21.2
1055,150.0,80.0
1056,549.0,19.2
1057,122.0,84.6
1058,333.0,45.6
1059,163.0,77.7
1060,701.0,3.2
1061,701.0,1.1
1062,106.0,88.1
1063,255.0,58.6
1064,334.0,45.3
1065,279.0,54.6
1066,701.0,5.0
1067,456.0,29.1
1068,70.0,93.2
1069,642.0,12.0
1070,701.0,4.4
1071,33.0,97.3
1072,667.0,10.2
1073,478.0,27.3
1074,642.0,12.0
1075,701.0,6.3
1076,701.0,2.0
1077,701.0,4.1
1078,320.0,47.5
1079,246.0,61.3
1080,345.0,42.6
1081,701.0,1.2
1082,536.0,20.9
1083,701.0,8.0
1084,480.0,27.1
1085,701.0,1.0
1086,701.0,1.2
1087,701.0,1.3
1088,669.0,9.8
1089,75.0,92.3
