name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
"University of Maryland, College Park",159,49.5,146,51.9,267,35.9,368,43,127,73.1,481,13.2,517,21.9,n/a,n/a,n/a,n/a,n/a,n/a
Technische Universität Berlin (TU Berlin),160,49.3,136,55.7,99,68.6,363,43.3,430,30.7,393,23.6,154,80.3,n/a,n/a,n/a,n/a,n/a,n/a
Emory University,161,48.6,340,25,501+,17.3,34,99.4,155,66.7,361,30.5,367,38.1,n/a,n/a,n/a,n/a,n/a,n/a
Case Western Reserve University,162,48.2,450,19,425,21.7,103,86.3,112,75.9,321,41.3,176,74.1,n/a,n/a,n/a,n/a,n/a,n/a
Tecnológico de Monterrey,163,48.2,180,45,51,90.4,129,81.5,601+,2.5,216,73.6,601+,8.9,n/a,n/a,n/a,n/a,n/a,n/a
King Fahd University of Petroleum & Minerals,164,48.1,295,28.7,383,25.4,106,85.9,242,54.5,25,100,589,16.5,n/a,n/a,n/a,n/a,n/a,n/a
University of Pittsburgh,165,48.1,194,42.3,475,18.8,48,97.5,322,43.9,601+,2.6,601+,14.6,n/a,n/a,n/a,n/a,n/a,n/a
RWTH Aachen University,166,48,157,50.2,41,93.3,601+,6.5,199,60.8,400,21.9,171,75.6,n/a,n/a,n/a,n/a,n/a,n/a
Alma Mater Studiorum - University of Bologna,167,47.7,71,77.5,199,46.6,601+,3.8,264,51.8,601+,4.7,601+,10.3,n/a,n/a,n/a,n/a,n/a,n/a
University of Bath,168,47.7,240,34.8,97,69.8,601+,22.4,181,63.3,109,98.7,112,89.5,n/a,n/a,n/a,n/a,n/a,n/a
Texas A&M University,169,47.6,112,61.5,106,65,601+,6,152,68.6,500,11,601+,15.6,n/a,n/a,n/a,n/a,n/a,n/a
Universitat de Barcelona,170,47.6,87,71.3,263,36.5,601+,16.1,273,51,601+,3.9,410,32.2,n/a,n/a,n/a,n/a,n/a,n/a
Western University,171,47.5,272,30.8,112,63.9,601+,5.5,27,97.4,90,99.4,231,60.4,n/a,n/a,n/a,n/a,n/a,n/a
