name,overall rank,overall score,academic reputation rank,academic reputation score,employer reputation rank,employer reputation score,faculty student rank,faculty student score,citations per faculty rank,citations per faculty score,international faculty rank,international faculty score,international students rank,international students score,international Research Network rank,international Research Network score,employment outcomes rank,employment outcomes score,sustainability rank,sustainability score
University of Oslo,117,56.9,139,55.8,601+,11.2,132,81.7,183,64.2,202,86.1,472,25.4,43,95.9,173,41.8,=80,91.8
Stockholm University,118,56.8,145,54.1,543,15.2,543,28.2,138,71.9,223,81.5,147,84.1,51,95.3,57,76.2,=175,75.1
"University of California, Davis",119,56.7,107,63.9,199,44.7,607,23.4,210,59.2,256,74.8,266,54.9,159,77.7,440,18.9,16,98.9
"KIT, Karlsruhe Institute of Technology",120,56.4,182,45.6,76,76.8,443,36,139,71.9,275,70.4,312,46.7,166,76,187,38.7,=504,23.9
Humboldt-Universität zu Berlin,121,56.3,43,90.2,120,65.9,701+,7.6,425,31.3,286,68.1,406,31.5,110,86,586,14.4,=382,37.5
Technical University of Denmark,122,56.2,270,32.5,525,16.3,27,99.8,99,83.4,53,100,153,82,189,71.6,275,28.9,=277,54.9
Lancaster University,123,55.7,215,39.7,236,40.2,581,25.2,115,79.3,157,93.6,116,90.6,171,75.3,400,20.7,24,98
Politecnico di Milano,124,55.2,94,69.3,99,71.2,701+,5.2,282,48.3,302,63.8,262,56.6,173,75.1,201,36.9,=453,29.4
Eindhoven University of Technology,125,55,295,29.3,78,76.2,390,40.4,75,89.7,30,100,205,70.8,377,40.1,426,19.7,=567,18
University of Basel,126,55,314,27.8,494,17.8,253,57.4,44,96.5,34,100,143,85,175,74.4,179,41.1,=201,70.4
Leiden University,127,54.8,95,69.1,362,26.8,659,20.2,190,62.7,204,85.5,292,50.2,61,93.7,303,26.9,=331,46
University of Bern,128,54.8,284,30.5,396,24.4,280,54.6,17,99.2,42,100,369,36.9,89,89.1,313,26.1,=182,73.6
University of Geneva,129,54.2,184,45.1,579,14.1,374,42,127,75.4,45,100,81,96.3,99,87.3,246,31,=232,63.1
Chalmers University of Technology,130,54,326,26.6,158,51.5,306,51.1,107,80.9,49,100,220,67.4,299,52.2,278,28.7,132,82.9
"Macquarie University (Sydney, Australia)",131,53.7,276,31.6,228,41,701+,10.3,105,81.3,104,98.6,94,93.6,139,81.4,167,43.2,=80,91.8
University of Vienna,132,53.7,88,70.8,217,42.5,629,22,646,14.5,92,99.3,129,88.1,62,93.5,109,56.8,180,74.1
University of North Carolina at Chapel Hill,133,53.2,110,63,290,33.9,171,72.9,316,42.5,541,24.7,701+,10.1,133,82.2,142,47.9,38,96.8
Sapienza University of Rome,134,52.9,74,79.2,229,41,701+,4.6,301,44.9,701+,3,697,10.8,33,96.9,101,59.8,79,92
Texas A&M University,135,52.9,112,62,135,59.6,701+,4.5,152,68.4,564,23.1,656,13.3,93,88.4,259,30.1,=246,61.3
Michigan State University,136,52.7,120,59.9,174,49.4,701+,11.3,221,58,320,58.6,665,12.8,45,95.6,153,45.5,199,71.2
Universiti Sains Malaysia (USM),137,52.6,115,61.4,86,74.7,273,55.2,613,16.2,538,24.9,124,88.9,246,59.6,462,18.2,116,85.5
University of Science and Technology of China,138,52.6,149,52.5,500,17.5,80,91.2,26,98.5,639,16.8,701+,5.2,444,32.2,335,24.8,=528,21.6
University of Groningen,139,52.5,148,52.9,326,29.9,304,51.4,311,42.9,159,93.5,140,85.6,67,92.1,372,22.3,214,67.7
RMIT University,140,52.4,223,38.6,173,49.6,701+,5.4,151,68.6,37,100,102,92.8,267,57.3,277,28.8,43,96.2
Nanjing University,141,52.1,123,59.6,378,25.4,504,31.3,42,96.9,334,55.1,701+,7.3,488,26.4,356,23.7,=367,39
Université de Montréal,142,52.1,136,56.6,283,34.5,154,77,491,24.9,191,88.4,277,52.2,216,65.2,205,36,50,95.5
