university_id,international faculty rank,international faculty score
1138,601.0,3.6
1139,149.0,93.3
1140,601.0,1.4
1141,601.0,1.0
1142,126.0,96.5
1143,601.0,1.9
1144,168.0,90.3
1145,601.0,1.1
1146,601.0,1.3
1147,601.0,1.5
