university_id,employment outcomes rank,employment outcomes score
127,701.0,7.5
128,654.0,13.1
129,658.0,13.1
130,701.0,9.6
131,14.0,99.5
132,142.0,47.9
133,278.0,28.7
134,701.0,9.1
135,275.0,28.9
136,49.0,81.0
137,701.0,11.1
138,553.0,15.2
139,82.0,66.0
140,531.0,15.7
141,312.0,26.2
142,701.0,6.0
143,701.0,5.1
144,462.0,18.2
145,523.0,16.0
146,701.0,6.9
147,701.0,9.5
148,701.0,8.6
149,701.0,11.5
150,320.0,25.7
151,701.0,8.1
152,131.0,50.3
153,701.0,11.8
154,362.0,23.1
155,619.0,13.8
156,58.0,75.2
157,39.0,88.9
158,701.0,7.8
159,701.0,10.6
160,269.0,29.5
161,502.0,16.8
162,701.0,7.8
163,558.0,15.0
164,389.0,21.5
165,355.0,23.8
166,701.0,10.8
167,325.0,25.5
168,701.0,11.1
169,298.0,27.3
170,126.0,51.6
171,339.0,24.6
172,701.0,7.0
173,701.0,9.6
174,701.0,7.6
175,6.0,100.0
176,701.0,10.0
177,409.0,20.4
178,99.0,60.1
179,76.0,68.6
180,520.0,16.1
181,105.0,58.2
182,701.0,10.1
183,701.0,8.0
184,248.0,30.8
185,701.0,12.3
186,701.0,10.0
187,574.0,14.6
188,701.0,9.2
189,701.0,9.1
190,91.0,63.7
191,701.0,11.8
192,701.0,7.9
193,340.0,24.6
194,66.0,71.9
195,73.0,70.0
196,701.0,4.3
197,701.0,5.1
198,289.0,27.9
199,404.0,20.6
200,701.0,10.7
201,273.0,29.2
202,22.0,96.4
203,701.0,7.3
204,350.0,24.1
205,572.0,14.6
206,701.0,10.0
207,701.0,11.5
208,701.0,11.9
209,680.0,12.7
210,521.0,16.1
211,430.0,19.4
212,132.0,50.1
213,374.0,22.1
214,68.0,71.5
215,701.0,10.6
216,15.0,98.7
217,701.0,11.5
218,411.0,20.4
219,701.0,4.0
220,94.0,62.4
221,419.0,19.8
222,701.0,7.2
223,44.0,87.2
224,438.0,19.0
225,701.0,12.2
226,701.0,11.9
227,701.0,11.9
228,296.0,27.4
229,701.0,8.7
230,701.0,8.9
231,701.0,7.5
232,701.0,10.9
233,701.0,6.0
234,212.0,35.3
235,177.0,41.6
236,701.0,9.1
237,103.0,58.7
238,171.0,42.1
239,47.0,82.2
240,701.0,6.9
241,206.0,35.7
242,701.0,9.5
243,701.0,9.8
244,400.0,20.7
245,701.0,11.9
246,245.0,31.0
247,701.0,8.4
248,701.0,7.6
249,13.0,99.7
250,701.0,8.6
251,34.0,91.4
252,701.0,6.2
253,83.0,66.0
254,701.0,10.3
255,211.0,35.4
256,701.0,11.2
257,135.0,49.5
258,107.0,57.3
259,267.0,29.8
260,701.0,7.7
261,656.0,13.1
262,611.0,14.0
263,701.0,9.0
264,701.0,8.5
265,373.0,22.2
266,37.0,89.3
267,701.0,10.5
268,329.0,25.0
269,674.0,12.8
270,701.0,9.1
271,701.0,10.2
272,701.0,8.4
273,701.0,5.7
274,334.0,24.8
275,457.0,18.3
276,563.0,14.8
277,701.0,8.2
278,701.0,10.1
279,701.0,7.8
280,701.0,11.4
281,701.0,9.5
282,274.0,29.2
283,117.0,53.4
284,393.0,21.1
285,223.0,34.4
286,257.0,30.2
287,247.0,30.8
288,489.0,17.2
289,475.0,17.5
290,701.0,6.6
291,23.0,96.2
292,701.0,4.6
293,203.0,36.8
294,701.0,8.0
295,701.0,8.0
296,242.0,31.5
297,501.0,16.8
298,701.0,10.7
299,249.0,30.7
300,690.0,12.6
301,701.0,9.0
302,701.0,7.7
303,295.0,27.5
304,354.0,23.9
305,33.0,92.5
306,539.0,15.5
307,701.0,9.4
308,343.0,24.4
309,4.0,100.0
310,701.0,9.8
311,305.0,26.8
312,701.0,12.0
313,420.0,19.8
314,701.0,12.1
315,678.0,12.7
316,180.0,39.8
317,449.0,18.5
318,701.0,5.9
319,701.0,8.4
320,701.0,9.9
321,701.0,8.8
322,479.0,17.4
323,701.0,12.1
324,701.0,9.6
325,204.0,36.7
326,701.0,11.6
327,701.0,4.0
328,488.0,17.2
329,701.0,5.5
330,701.0,7.5
331,688.0,12.6
332,464.0,18.0
333,701.0,12.0
334,506.0,16.8
335,701.0,10.4
336,43.0,87.8
337,543.0,15.4
338,236.0,32.5
339,593.0,14.2
340,604.0,14.1
341,701.0,8.5
342,701.0,6.7
343,425.0,19.7
344,29.0,94.3
345,701.0,10.2
346,120.0,52.8
347,150.0,46.4
348,134.0,49.6
349,701.0,10.8
350,701.0,11.7
351,359.0,23.5
352,701.0,9.7
353,701.0,12.1
354,701.0,8.0
355,318.0,26.0
356,701.0,4.5
357,640.0,13.4
358,701.0,12.0
359,701.0,8.9
360,701.0,5.0
361,182.0,39.5
362,277.0,28.8
363,701.0,8.8
364,701.0,11.1
365,701.0,5.1
366,649.0,13.2
367,448.0,18.6
368,701.0,9.1
369,701.0,5.5
370,701.0,6.9
371,19.0,97.7
372,168.0,43.1
373,307.0,26.6
374,527.0,15.9
375,701.0,8.5
376,701.0,7.7
377,282.0,28.4
378,701.0,9.4
379,514.0,16.5
380,701.0,8.4
381,701.0,11.8
382,701.0,10.7
383,2.0,100.0
384,454.0,18.4
385,701.0,6.5
386,407.0,20.5
387,701.0,12.1
388,367.0,22.7
389,701.0,7.8
390,701.0,12.2
391,77.0,68.5
392,701.0,8.2
393,310.0,26.5
394,330.0,25.0
395,268.0,29.6
396,380.0,21.9
397,701.0,5.3
398,701.0,8.8
399,629.0,13.6
400,562.0,14.8
401,701.0,11.6
402,383.0,21.7
403,701.0,9.1
404,87.0,65.6
405,701.0,7.2
406,701.0,11.3
407,51.0,79.5
408,701.0,8.5
409,225.0,34.2
410,701.0,11.2
411,701.0,10.2
412,10.0,99.9
413,335.0,24.8
414,701.0,10.3
415,592.0,14.3
416,701.0,6.4
417,469.0,17.7
418,392.0,21.3
419,455.0,18.3
420,701.0,10.2
421,701.0,6.5
422,701.0,10.6
423,472.0,17.6
424,136.0,49.5
425,701.0,5.2
426,124.0,52.0
427,701.0,9.8
428,470.0,17.7
429,456.0,18.3
430,701.0,9.6
431,617.0,13.8
432,701.0,9.5
433,194.0,37.7
434,440.0,18.9
435,676.0,12.7
436,701.0,12.1
437,667.0,12.9
438,396.0,20.9
439,159.0,44.7
440,701.0,9.2
441,146.0,47.4
442,701.0,11.4
